"MovieId","Title","Year","Action","Adventure","Animation","Childrens","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Western","UserId","Gender","Age","Occupation","Zipcode","TimeStamp","Rating"
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,"F",1,10,"1748",977851099,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,"F",1,10,"19390",982873678,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,"F",2,0,"19001",1038970374,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,213,"F",1,4,"1609",976900243,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,707,"M",3,7,"17740",975542819,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,795,"F",3,14,"19147",975417180,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,832,"M",1,2,"19464",975362713,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,997,"M",1,19,"15748",975205507,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,"M",4,16,"19425",974997699,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,"M",1,6,"19104",974949958,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,"M",1,0,"19134",974840887,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,"M",2,4,"18104",978744038,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,"M",3,2,"19123",974814927,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,"F",2,3,"17522",976138891,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,"M",3,20,"17112",975436938,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,"M",1,10,"19343",974849483,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,"M",2,0,"16101",974732629,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,"M",2,14,"15241",974710590,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,"M",2,20,"19134",974708744,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,"M",2,0,"19152",974702041,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,"M",1,4,"19146",974701160,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,"F",2,1,"17055",974858656,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,"F",3,3,"1545",974676716,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2071,"M",4,7,"1605",974658422,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,"M",3,17,"1519",974649151,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2135,"M",4,1,"1778",974641815,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,"M",4,6,"1950",974604586,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,"F",3,14,"1536",974590451,3
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2583,"M",3,7,"19610",975118769,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,"M",1,4,"15213",973810591,4
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,"M",5,1,"15701",973612086,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,"M",2,6,"19428",973569541,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2661,"M",5,13,"19312",973461679,5
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,"M",2,12,"1864",973389400,2
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2806,"M",1,10,"15208",972785865,2
1,"Toy Story ",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2931,"M",1,4,"16803",971505491,5
